date,time,tank,temp.C,pH.mV,sal.psu,flow.mL.5s.initial,flow.mL.5s.final,par.center,par.q1,par.q2,par.q3,par.q4,tris.date,notes
9/29/22,12:11,1,27.62,-56,37.97,350,325,407,401,386,362,407,20220924,
9/29/22,12:14,2,27.6,-56.6,38.01,450,425,465,434,413,420,421,20220924,
9/29/22,12:15,3,27.69,-57,38,275,300,484,460,360,443,426,20220924,
9/29/22,12:16,4,27.68,-56.9,38,325,325,468,451,456,344,332,20220924,
9/29/22,12:17,5,27.65,-57.3,38.01,375,300,445,411,419,429,431,20220924,
9/29/22,12:18,6,27.62,-57.2,38.01,350,350,408,397,388,475,401,20220924,
9/30/22,10:04,1,27.49,-56.8,38.02,375,375,399,363,391,349,333,20220924,
9/30/22,10:06,2,27.49,-56.6,38.03,450,375,431,412,369,398,346,20220924,
9/30/22,10:08,3,27.55,-56.8,38.02,375,350,398,365,326,412,384,20220924,
9/30/22,10:09,4,27.54,-56.8,38.02,350,350,345,362,333,322,301,20220924,
9/30/22,10:10,5,27.52,-57,38.02,325,350,339,362,371,392,392,20220924,
9/30/22,10:11,6,27.5,-57,38.01,375,350,359,320,335,345,355,20220924,
10/1/22,16:32,1,27.52,-57.4,38.14,350,350,9,11,10,18,12,20220924,"late time of day, low sunlight, cloudy/rainy conditions "
10/1/22,16:34,2,27.48,-57.4,38.25,325,325,12,8,6,7,6,20220924,"late time of day, low sunlight, cloudy/rainy conditions "
10/1/22,16:35,3,27.48,-57.4,38.15,325,325,15,9,10,11,6,20220924,"late time of day, low sunlight, cloudy/rainy conditions "
10/1/22,16:36,4,27.44,-57.5,38.17,375,375,8,7,6,5,19,20220924,"late time of day, low sunlight, cloudy/rainy conditions "
10/1/22,16:38,5,27.46,-57.4,38.16,325,325,16,9,15,14,8,20220924,"late time of day, low sunlight, cloudy/rainy conditions "
10/1/22,16:40,6,27.41,-57.4,38.1,350,350,13,11,10,9,14,20220924,"late time of day, low sunlight, cloudy/rainy conditions "
10/2/22,12:08,1,27.6,-57.2,38.08,375,375,443,442,420,316,347,20220924,
10/2/22,12:10,2,27.64,-57,38.08,350,350,436,432,406,346,312,20220924,
10/2/22,12:12,3,27.69,-57.3,38.08,350,350,457,421,413,307,392,20220924,
10/2/22,12:14,4,27.67,-57.4,38.09,350,350,392,361,407,412,450,20220924,
10/2/22,12:16,5,27.68,-57.7,38.08,350,350,471,407,366,342,301,20220924,
10/2/22,12:18,6,27.67,-57.4,38.08,350,350,312,415,431,398,401,20220924,
10/3/22,14:45,1,27.56,-56.5,38.14,375,375,60,65,72,81,78,20220924,cloudy/rainy conditions during measurements; measurements taken after cleaning
10/3/22,14:47,2,27.65,-56.2,38.13,375,375,84,90,60,72,61,20220924,cloudy/rainy conditions during measurements; measurements taken after cleaning
